Designator,Quantity,Description,Value,Footprint,Manufacturer,Part Number,Notes
J5,1,3-Position Screw Terminal 5.08mm,CH3 Output,TERMINAL_3P_5.08mm,Phoenix Contact,MKDS 1.5/3-5.08,NC/COM/NO
J6,1,3-Position Screw Terminal 5.08mm,CH4 Output,TERMINAL_3P_5.08mm,Phoenix Contact,MKDS 1.5/3-5.08,NC/COM/NO
C5,1,SMD Capacitor 0805,100nF,CAP_0805,Generic,CL21B104KBCNNNC,VCC_3V3 bypass
C6,1,SMD Capacitor 0805,100nF,CAP_0805,Generic,CL21B104KBCNNNC,VCOIL bypass
TP1,1,Test Point 1.5mm,VCC_3V3,TESTPOINT_1.5mm,Generic,5000,VCC_3V3 test
TP2,1,Test Point 1.5mm,GND,TESTPOINT_1.5mm,Generic,5000,GND test
TP3,1,Test Point 1.5mm,VCOIL_5V_ISO,TESTPOINT_1.5mm,Generic,5000,Isolated 5V test
TP4,1,Test Point 1.5mm,RELAY1_COIL,TESTPOINT_1.5mm,Generic,5000,K1 coil test
TP5,1,Test Point 1.5mm,RELAY2_COIL,TESTPOINT_1.5mm,Generic,5000,K2 coil test
TP6,1,Test Point 1.5mm,RELAY3_COIL,TESTPOINT_1.5mm,Generic,5000,K3 coil test
TP7,1,Test Point 1.5mm,RELAY4_COIL,TESTPOINT_1.5mm,Generic,5000,K4 coil test
SJ1,1,Solder Jumper 0805,GND-GND_ISO,JUMPER_SJ_0805,N/A,N/A,Optional GND connection (open by default)
